Hour,kcals,METs,Number of Freedson (1998) Bouts occurring in this hour,Number of Freedson (1998) Bouts starting in this hour,Number of Freedson (1998) Bouts ending in this hour,Total time of Freedson (1998) Bouts occurring in this hour,Total activity counts of Freedson (1998) Bouts occurring in this hour,Number of Sedentary Bouts occurring in this hour,Number of Sedentary Bouts starting in this hour,Number of Sedentary Bouts ending in this hour,Total time of Sedentary Bouts occurring in this hour,Number of Sedentary Breaks occurring in this hour,Number of Sedentary Breaks starting in this hour,Number of Sedentary Breaks ending in this hour,Total time of Sedentary Breaks occurring in this hour,Sedentary,Light,Moderate,Vigorous,Very Vigorous,Total MVPA,% in MVPA,Axis 1 Counts,Axis 2 Counts,Axis 3 Counts,Axis 1 Average Counts,Axis 2 Average Counts,Axis 3 Average Counts,Axis 1 Max Counts,Axis 2 Max Counts,Axis 3 Max Counts,Axis 1 CPM,Axis 2 CPM,Axis 3 CPM,Vector Magnitude Counts,Vector Magnitude Average Counts,Vector Magnitude Max Counts,Vector Magnitude CPM,Steps Counts,Steps Average Counts,Steps Max Counts,Steps Per Minute,Lux Average Counts,Lux Max Counts,Number of Epochs,Time,Calendar Days
12:00 AM,280.979,1.103,0,0,0,0,0,20,18,14,210.166666666667,33,14,18,3369.83333333333,1111.5,114.2,34.3,0,0,0.833333333333333,0,277547,205251,274089,36.7,27.1,36.3,2160,1708,2331,220.3,162.9,217.5,442813,62.2,3013.6,351.4,2201,0.3,12,1.7,0,0,7560,1260,21
1:00 AM,142.589,1.049,0,0,0,0,0,28,22,22,385.5,37,22,22,3644.66666666667,1170.5,73.2,16.3,0,0,1,0,140386,109805,142459,18.6,14.5,18.8,1961,2537,1568,111.4,87.1,113.1,230394,32.8,3569.4,182.9,1153,0.2,10,0.9,0,0,7560,1260,21
2:00 AM,109.428,1.036,0,0,0,0,0,27,21,19,389.666666666667,34,19,21,3164,1091.8,60.2,11,0,0,0,0,103941,79185,111563,14.2,10.9,15.5,1367,1353,1214,89.4,68.1,95.9,173693.1,25.8,2214.6,149.3,866,0.1,9,0.7,0,0,6978,1163,21
3:00 AM,103.181,1.041,0,0,0,0,0,31,23,22,468.833333333333,34,22,23,3281.5,1079.8,52.8,11.2,0,0,0.333333333333333,0,97082,85860,100129,14.9,13.2,15.3,1458,1543,1557,84.9,75.1,87.5,166411.5,27.2,2521.2,145.5,839,0.1,8,0.7,0,0,6863,1143.83,20
4:00 AM,89.608,1.032,0,0,0,0,0,42,33,31,621.833333333333,43,31,33,3395.66666666667,1124.7,46,10.5,0,0,1.5,0,84254,70838,94535,11.4,9.6,13,1236,1281,1296,71.3,60,80,147460.4,21.6,1673.6,124.8,690,0.1,8,0.6,0,0,7087,1181.17,21
5:00 AM,113.084,1.039,0,0,0,0,0,39,28,29,598.5,39,29,28,3451.83333333333,1134.8,53.5,12.7,0,0,0.166666666666667,0,107894,98424,126645,14.4,13.2,17,1639,1854,1282,89.8,82,105.4,195800.1,28.0,2334.6,163,907,0.1,9,0.8,0,0,7206,1201,21
6:00 AM,120.892,1.044,0,0,0,0,0,31,21,23,511.833333333333,34,23,21,3322.33333333333,1121.2,59.7,14,0,0,0.333333333333333,0,116592,105324,131545,16.4,14.6,18.2,1365,1881,1526,97.6,88.1,110.1,206883.8,30.9,2539.8,173.1,956,0.1,9,0.8,0,0,7169,1194.83,21
7:00 AM,107.516,1.072,1,1,0,2,5038,36,28,26,495.5,39,26,28,0,1154.5,54,12.3,0,0,2.16666666666667,0,101108,86368,115275,25.3,21.7,27.4,1234,1408,1381,82.8,70.7,94.4,178085.3,45.5,2011.1,145.9,857,0.3,9,0.7,0,0,7325,1220.83,23
8:00 AM,228.479,1.092,1,0,1,9.16666666666667,35270,30,20,23,459,34,23,20,0,1147.3,81.5,32.2,0,0,12.3333333333333,0,233382,196993,244926,34.2,30.2,39.7,2245,1974,1657,185.1,156.2,194.2,392798.4,64.4,2893.4,311.5,1896,0.4,14,1.5,0,0,7566,1261,22
9:00 AM,548.766,1.211,0,0,0,0,0,25,19,22,319,36,22,19,0,971,216.7,67,0,0,10.5,0,528543,461830,601566,74.1,64.8,83.1,2218,2400,1756,421.3,368.1,479.5,926797.6,137.7,3567.4,738.7,4491,0.6,11,3.6,0,0,7528,1254.67,22
10:00 AM,989.728,1.403,1,1,1,10.3333333333333,45875,7,3,7,83.8333333333333,23,7,3,0,720.2,341.5,138.3,0,0,3.5,0,975083,865876,1011799,135.4,120.3,140.5,2227,2148,1714,812.6,721.6,843.2,1656790.3,245.4,3306,1380.7,8295,1.2,15,6.9,0,0,7200,1200,20
11:00 AM,1115.778,1.453,2,2,1,12.3333333333333,38425,6,6,2,70.8333333333333,23,2,6,0,714.8,352.8,162.3,0,0,8.5,0,1114050,974709,1119647,151.3,132.4,152.6,2669,3043,2174,905.7,792.4,910.3,1865045.2,270.4,3662.9,1516.3,9828,1.3,16,8,0,0,7380,1230,21
12:00 PM,1105.331,1.422,3,2,2,24.1666666666667,73887,7,3,5,119,21,5,3,0,712.7,393.2,144.3,0,0,0.5,0,1063214,1033591,1062458,141.2,137.2,141.4,3115,2158,1923,850.5,826.8,849.9,1845412.4,262.2,3759.2,1476.1,10720,1.4,19,8.6,0,0,7501,1250.17,21
1:00 PM,1204.032,1.450,3,2,3,26.6666666666667,99238,3,1,3,51,20,2,1,0,603.2,453.5,156.2,0,0,0,0,1189641,999176,1109768,157.4,132.2,146.8,2427,2585,1848,980.9,823.8,915,1923136.4,273.2,3212.3,1585.7,11025,1.5,14,9.1,0,0,7277,1212.83,21
