date,% in Light_previus_day_0,% in MVPA_previus_day_0,% in Moderate_previus_day_0,% in Sedentary_previus_day_0,% in Very Vigorous_previus_day_0,% in Vigorous_previus_day_0,Average Hourly kcals_previus_day_0,Average MVPA Per Hour_previus_day_0,Axis 1 Average Counts_previus_day_0,Axis 1 CPM_previus_day_0,Axis 1 Counts_previus_day_0,Axis 1 Max Counts_previus_day_0,Axis 2 Average Counts_previus_day_0,Axis 2 CPM_previus_day_0,Axis 2 Counts_previus_day_0,Axis 2 Max Counts_previus_day_0,Axis 3 Average Counts_previus_day_0,Axis 3 CPM_previus_day_0,Axis 3 Counts_previus_day_0,Axis 3 Max Counts_previus_day_0,Lux Average Counts_previus_day_0,Lux Max Counts_previus_day_0,METs_previus_day_0,Number of Epochs_previus_day_0,Number of Freedson (1998) Bouts occurring in this day_previus_day_0,Number of Sedentary Bouts occurring in this day_previus_day_0,Number of Sedentary Breaks occurring in this day_previus_day_0,Steps Average Counts_previus_day_0,Steps Counts_previus_day_0,Steps Max Counts_previus_day_0,Steps Per Minute_previus_day_0,Total MVPA_previus_day_0,Total activity counts of Freedson (1998) Bouts occurring in this day_previus_day_0,Total time of Freedson (1998) Bouts occurring in this day_previus_day_0,Total time of Sedentary Bouts occurring in this day_previus_day_0,Total time of Sedentary Breaks occurring in this day_previus_day_0,Vector Magnitude Average Counts_previus_day_0,Vector Magnitude CPM_previus_day_0,Vector Magnitude Counts_previus_day_0,Vector Magnitude Max Counts_previus_day_0,index_previus_day_0,kcals_previus_day_0,% in Light_previus_day_1,% in MVPA_previus_day_1,% in Moderate_previus_day_1,% in Sedentary_previus_day_1,% in Very Vigorous_previus_day_1,% in Vigorous_previus_day_1,Average Hourly kcals_previus_day_1,Average MVPA Per Hour_previus_day_1,Axis 1 Average Counts_previus_day_1,Axis 1 CPM_previus_day_1,Axis 1 Counts_previus_day_1,Axis 1 Max Counts_previus_day_1,Axis 2 Average Counts_previus_day_1,Axis 2 CPM_previus_day_1,Axis 2 Counts_previus_day_1,Axis 2 Max Counts_previus_day_1,Axis 3 Average Counts_previus_day_1,Axis 3 CPM_previus_day_1,Axis 3 Counts_previus_day_1,Axis 3 Max Counts_previus_day_1,Lux Average Counts_previus_day_1,Lux Max Counts_previus_day_1,METs_previus_day_1,Number of Epochs_previus_day_1,Number of Freedson (1998) Bouts occurring in this day_previus_day_1,Number of Sedentary Bouts occurring in this day_previus_day_1,Number of Sedentary Breaks occurring in this day_previus_day_1,Steps Average Counts_previus_day_1,Steps Counts_previus_day_1,Steps Max Counts_previus_day_1,Steps Per Minute_previus_day_1,Total MVPA_previus_day_1,Total activity counts of Freedson (1998) Bouts occurring in this day_previus_day_1,Total time of Freedson (1998) Bouts occurring in this day_previus_day_1,Total time of Sedentary Bouts occurring in this day_previus_day_1,Total time of Sedentary Breaks occurring in this day_previus_day_1,Vector Magnitude Average Counts_previus_day_1,Vector Magnitude CPM_previus_day_1,Vector Magnitude Counts_previus_day_1,Vector Magnitude Max Counts_previus_day_1,index_previus_day_1,kcals_previus_day_1,16,17,18,19,20,21,22,23,24,25,26,max,sum
2021-04-21 17:16:01,7.30,1.25,1.25,91.45,0.00,0.00,5.377,0.6,22.8,136.7,116776,1542,21.8,131.0,111883,1166,30.1,180.6,154240,1791,0,0,1.063,5124,0,21,22,0.4,1854,22,2.2,10.6666666666667,0,0.0,604.833333333333,835.166666666667,46.9,261.7,223482.5,2370.5,1,129.059,40.57,17.38,17.38,42.05,0.00,0.00,18.39,9.8,203.8,1222.9,413966,1770,220.3,1321.6,447369,1835,284.9,1709.3,578592,2408,0,0,1.64,2031,0,0,1,2.0,4088,16,12.1,58.8333333333333,0,0.0,0.0,1440.0,434.1,2482.7,840402.0,2664.3,2,441.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-23 19:12:56,22.68,7.96,7.96,69.36,0.00,0.00,31.797,4.6,98.3,590.1,715394,1652,88.6,531.8,644774,1501,131.7,790.1,957898,2604,0,0,1.298,7274,0,12,13,0.9,6375,11,5.3,96.5,0,0.0,235.5,1204.5,199.3,1120.4,1358341.1,2728.8,3,763.128,4.35,2.90,2.90,92.75,0.00,0.00,0.091,0.3,27.5,164.9,1896,773,19.4,116.7,1342,421,18.1,108.9,1252,668,0,0,1.093,69,0,1,2,0.2,14,4,1.2,0.333333333333333,0,0.0,10.5,1429.5,39.7,229.5,2638.8,1105.0,4,2.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2021-04-28 15:46:52,46.04,20.03,20.03,33.92,0.00,0.00,39.441,11.5,231.9,1391.7,876521,1867,249.5,1496.8,942741,2283,356.6,2139.8,1347724,2642,0,0,1.74,3779,2,1,2,2.6,9769,17,15.5,126.166666666667,74980,21.1666666666667,11.5,1428.5,518.7,2959.1,1863708.6,3554.4,6,946.592,29.65,11.19,11.19,59.16,0.00,0.00,52.098,6.7,134.4,806.7,1161585,1829,123.0,738.0,1062690,1718,179.8,1078.8,1553439,2995,0,0,1.418,8640,1,13,14,1.3,11469,16,8.0,161.166666666667,49991,13.6666666666667,225.0,1215.0,272.7,1535.9,2211732.9,3111.4,7,1250.352,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0
2021-04-30 14:51:08,16.16,5.98,5.98,77.86,0.00,0.00,20.817,3.4,71.4,428.5,465394,1796,58.2,349.3,379410,1613,97.8,586.6,637098,2890,0,0,1.22,6517,1,21,21,0.6,4061,12,3.7,65.0,29239,10.3333333333333,329.5,1110.5,143.3,806.0,875464.1,3083.1,8,499.618,1.68,0.00,0.00,98.32,0.00,0.00,0.054,0.0,2.6,15.4,1071,236,4.6,27.6,1917,368,3.2,19.0,1321,426,0,0,1.003,417,0,2,2,0.0,13,2,0.2,0.0,0,0.0,60.8333333333333,1379.16666666667,6.4,36.9,2562.6,551.2,9,1.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-21 08:42:24,25.47,9.40,9.40,65.13,0.00,0.00,24.153,5.0,115.6,693.7,554768,1884,96.3,578.1,462261,2075,138.1,828.7,662706,1883,0,0,1.348,4798,0,6,5,1.1,5299,16,6.6,75.1666666666667,0,0.0,113.833333333333,541.333333333333,220.2,1225.7,980118.4,3200.0,3,579.678,28.20,12.65,12.65,59.15,0.00,0.00,48.558,6.8,140.0,840.2,1090469,1544,129.3,775.8,1006882,1998,174.5,1047.0,1358785,2183,0,0,1.444,7787,0,13,13,1.5,11620,19,9.0,164.166666666667,0,0.0,306.0,1134.0,274.6,1550.5,2012270.0,2882.0,4,1165.382,4.0,5.0,3.0,0.0,5.0,4.0,6.0,2.0,0.0,3.0,4.0,6.0,42.0
2021-05-24 09:22:09,15.42,5.71,5.71,78.88,0.00,0.00,26.636,3.4,67.6,405.4,583712,1677,65.3,392.1,564594,1901,84.3,505.7,728195,1518,0,0,1.212,8640,0,25,24,0.7,5643,16,3.9,82.1666666666667,0,0.0,578.5,861.5,134.7,757.5,1090758.5,2554.6,6,639.269,19.96,8.31,8.31,71.73,0.00,0.00,34.336,4.6,96.2,577.3,772339,2085,93.6,561.5,751149,3294,118.4,710.1,950047,2147,0,0,1.3,8027,1,20,20,1.0,8173,17,6.1,111.166666666667,34681,10.1666666666667,462.5,977.5,189.3,1073.7,1436426.7,4450.5,7,824.058,8.0,7.0,5.0,5.0,5.0,6.0,8.0,5.0,5.0,7.0,6.0,8.0,75.0
2021-05-26 09:28:30,21.00,8.86,8.86,70.14,0.00,0.00,38.397,5.2,100.7,604.3,852585,1436,92.5,554.9,782810,2155,131.0,785.7,1108555,2245,0,0,1.32,8465,2,19,20,1.0,8888,17,6.3,125.0,64958,22.0,470.0,970.0,200.7,1136.0,1602681.1,2859.1,8,921.539,27.21,8.56,8.56,64.23,0.00,0.00,36.368,4.5,106.5,639.2,780521,1367,109.6,657.5,802939,1536,145.3,871.8,1064561,1858,0,0,1.332,7327,0,8,8,1.3,9597,17,7.9,104.5,0,0.0,198.333333333333,1241.66666666667,224.5,1265.2,1545061.2,2473.0,9,872.843,5.0,5.0,7.0,4.0,10.0,4.0,10.0,5.0,5.0,5.0,10.0,10.0,80.0
2021-05-28 09:28:56,22.19,9.77,9.77,68.04,0.00,0.00,41.28,5.9,106.8,640.8,922752,1424,104.3,625.8,901207,2070,131.4,788.6,1135608,1739,0,0,1.338,8640,2,22,21,1.1,9647,17,6.7,140.666666666667,65927,21.6666666666667,470.5,969.5,211.4,1193.4,1718502.5,2440.6,10,990.718,26.65,9.49,9.49,63.86,0.00,0.00,35.886,4.6,115.3,691.5,806541,1800,111.9,671.4,783046,1863,145.0,870.2,1014923,1846,0,0,1.352,6998,2,12,11,1.4,9536,17,8.2,110.666666666667,70036,21.5,215.166666666667,1224.83333333333,229.7,1298.5,1514509.2,2792.5,11,861.258,3.0,7.0,5.0,3.0,8.0,5.0,10.0,5.0,6.0,7.0,6.0,10.0,75.0
2021-05-31 17:31:48,22.44,8.68,8.68,68.89,0.00,0.00,35.63,4.7,100.5,603.1,791127,1525,91.8,551.0,722827,1746,128.2,768.9,1008717,1833,0,0,1.313,7871,0,20,20,1.0,7730,23,5.9,113.833333333333,0,0.0,479.833333333333,960.166666666667,199.0,1121.9,1471689.8,2407.7,13,855.126,20.83,8.85,8.85,70.31,0.00,0.00,38.474,5.3,99.4,596.7,859233,1613,94.4,566.4,815607,2235,126.8,760.7,1095459,1906,0,0,1.313,8640,1,21,20,1.0,8836,17,6.1,127.5,34407,10.6666666666667,493.166666666667,946.833333333333,198.3,1120.5,1613544.7,2893.3,14,923.371,5.0,8.0,8.0,1.0,2.0,7.0,10.0,4.0,4.0,9.0,5.0,10.0,73.0
2021-06-04 12:55:27,25.12,10.09,10.09,64.79,0.00,0.00,41.483,5.5,118.0,708.1,927868,1573,120.5,723.2,947695,1804,151.5,909.0,1191099,1798,0,0,1.369,7862,0,13,12,1.2,9751,17,7.4,132.166666666667,0,0.0,302.0,1138.0,241.1,1360.4,1782633.4,2402.8,17,995.583,22.03,10.22,10.22,67.75,0.00,0.00,38.282,5.5,114.7,688.0,890912,1730,108.5,650.7,842702,2727,141.3,847.7,1097803,1916,0,0,1.353,7770,0,16,15,1.1,8853,20,6.8,132.333333333333,0,0.0,393.666666666667,1046.33333333333,225.3,1271.0,1645916.9,3355.3,18,918.764,6.0,10.0,5.0,0.0,4.0,5.0,9.0,5.0,5.0,7.0,7.0,10.0,73.0
