,Unnamed: 0,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26,wereable
131,131,1439,2,113,26,,25,2021-04-21 17:16:01,2021-04-21 17:16:01,,,,,,,,,,,0.0,W001
129,129,1437,2,113,24,,21,2021-04-21 17:16:01,2021-04-21 17:16:01,,,,,,,,,0.0,,,W001
128,128,1436,2,113,23,,19,2021-04-21 17:16:01,2021-04-21 17:16:01,,,,,,,,0.0,,,,W001
127,127,1435,2,113,22,,17,2021-04-21 17:16:01,2021-04-21 17:16:01,,,,,,,0.0,,,,,W001
126,126,1434,2,113,21,,15,2021-04-21 17:16:01,2021-04-21 17:16:01,,,,,,0.0,,,,,,W001
125,125,1433,2,113,20,,13,2021-04-21 17:16:01,2021-04-21 17:16:01,,,,,0.0,,,,,,,W001
124,124,1432,2,113,19,,11,2021-04-21 17:16:01,2021-04-21 17:16:01,,,,0.0,,,,,,,,W001
123,123,1431,2,113,18,,9,2021-04-21 17:16:01,2021-04-21 17:16:01,,,0.0,,,,,,,,,W001
122,122,1430,2,113,17,,7,2021-04-21 17:16:01,2021-04-21 17:16:01,,0.0,,,,,,,,,,W001
121,121,1429,2,113,26,,5,2021-04-21 17:16:01,2021-04-21 17:16:01,,,,,,,,,,,,W001
130,130,1438,2,113,25,,23,2021-04-21 17:16:01,2021-04-21 17:16:01,,,,,,,,,,0.0,,W001
0,0,1460,2,113,26,,27,2021-04-23 19:12:56,2021-04-23 19:12:56,,,,,,,,,,,1.0,W001
7,7,1467,2,113,23,,19,2021-04-23 19:12:56,2021-04-23 19:12:56,,,,,,,,0.0,,,,W001
1,1,1461,2,113,17,,7,2021-04-23 19:12:56,2021-04-23 19:12:56,,0.0,,,,,,,,,,W001
2,2,1462,2,113,18,,9,2021-04-23 19:12:56,2021-04-23 19:12:56,,,0.0,,,,,,,,,W001
4,4,1464,2,113,20,,13,2021-04-23 19:12:56,2021-04-23 19:12:56,,,,,0.0,,,,,,,W001
5,5,1465,2,113,21,,15,2021-04-23 19:12:56,2021-04-23 19:12:56,,,,,,0.0,,,,,,W001
6,6,1466,2,113,22,,17,2021-04-23 19:12:56,2021-04-23 19:12:56,,,,,,,0.0,,,,,W001
3,3,1463,2,113,19,,11,2021-04-23 19:12:56,2021-04-23 19:12:56,,,,0.0,,,,,,,,W001
9,9,1469,2,113,25,,23,2021-04-23 19:12:56,2021-04-23 19:12:56,,,,,,,,,,0.0,,W001
8,8,1468,2,113,24,,21,2021-04-23 19:12:56,2021-04-23 19:12:56,,,,,,,,,0.0,,,W001
10,10,1470,2,113,26,,25,2021-04-23 19:12:56,2021-04-23 19:12:56,,,,,,,,,,,0.0,W001
