,id,questionnaire_id,user_id,question_id,answer_text,question_option_id,created_at,updated_at,16,17,18,19,20,21,22,23,24,25,26
0,1460,2,113,26,,27,2021-04-23 19:12:56,2021-04-23 19:12:56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
1,1461,2,113,17,,7,2021-04-23 19:12:56,2021-04-23 19:12:56,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,1462,2,113,18,,9,2021-04-23 19:12:56,2021-04-23 19:12:56,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
3,1463,2,113,19,,11,2021-04-23 19:12:56,2021-04-23 19:12:56,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
4,1464,2,113,20,,13,2021-04-23 19:12:56,2021-04-23 19:12:56,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
5,1465,2,113,21,,15,2021-04-23 19:12:56,2021-04-23 19:12:56,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
6,1466,2,113,22,,17,2021-04-23 19:12:56,2021-04-23 19:12:56,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
7,1467,2,113,23,,19,2021-04-23 19:12:56,2021-04-23 19:12:56,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
8,1468,2,113,24,,21,2021-04-23 19:12:56,2021-04-23 19:12:56,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
9,1469,2,113,25,,23,2021-04-23 19:12:56,2021-04-23 19:12:56,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
10,1470,2,113,26,,25,2021-04-23 19:12:56,2021-04-23 19:12:56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
11,1622,2,113,25,,23,2021-04-30 14:51:08,2021-04-30 14:51:08,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
12,1621,2,113,24,,21,2021-04-30 14:51:08,2021-04-30 14:51:08,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
13,1620,2,113,23,,19,2021-04-30 14:51:08,2021-04-30 14:51:08,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan
14,1619,2,113,22,,17,2021-04-30 14:51:08,2021-04-30 14:51:08,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan
15,1618,2,113,21,,15,2021-04-30 14:51:08,2021-04-30 14:51:08,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan
16,1617,2,113,20,,13,2021-04-30 14:51:08,2021-04-30 14:51:08,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan
17,1616,2,113,19,,11,2021-04-30 14:51:08,2021-04-30 14:51:08,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
18,1615,2,113,18,,9,2021-04-30 14:51:08,2021-04-30 14:51:08,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
19,1614,2,113,17,,7,2021-04-30 14:51:08,2021-04-30 14:51:08,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,1613,2,113,26,,5,2021-04-30 14:51:08,2021-04-30 14:51:08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,null
21,1567,2,113,26,,25,2021-04-28 15:46:52,2021-04-28 15:46:52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
22,1541,2,113,26,,5,2021-04-26 15:34:03,2021-04-26 15:34:03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,null
23,1542,2,113,17,,7,2021-04-26 15:34:03,2021-04-26 15:34:03,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,1543,2,113,18,,9,2021-04-26 15:34:03,2021-04-26 15:34:03,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
25,1544,2,113,19,,11,2021-04-26 15:34:03,2021-04-26 15:34:03,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
